source_id,evidence_tier,source,year,document_id,data_type,scope,locator,supports,url,direct_pdf,notes
S01,标准原文（本地扫描件）,GJB 2874-97《电传操纵系统飞机的飞行品质》,1997,GJB 2874-97,飞行品质标准,飞机分类、飞行阶段、LOES 模型、T_R、螺旋、荷兰滚和时延背景,附录A表A18、A19、A35；本包 evidence/ 内有关键页,品质边界和符号定义；不提供真实机队联合概率分布,https://std.nscmi.com/pages/StdDataMore.aspx?id=b22a1b8b412089a84e5a0a3118213b01,../../reference/GJB_2874-1997_电传操纵系统飞机的飞行品质.pdf,标准边界不能直接当作采样分布。
S02,官方军标指南元数据/指南表,"MIL-HDBK-1797, Flying Qualities of Piloted Aircraft",1997,MIL-HDBK-1797,DoD 指南,等效滚转时延、操纵力、滚转灵敏度、模态品质边界,"Tables XXV, XXVII, XXXVI, XXXVII, XL",与GJB边界交叉核对；给出时延和操纵力指南,https://quicksearch.dla.mil/qsDocDetails.aspx?ident_number=208700,,指南值是品质要求，不是机队分布。
S03,官方军标元数据,"MIL-STD-1797B, Flying Qualities of Piloted Aircraft",2006,MIL-STD-1797B,DoD 标准,当前版本状态与标准适用背景,DLA ASSIST document details,确认标准版本；本包数表主要转录自可核对的GJB扫描件和手册,https://quicksearch.dla.mil/qsDocDetails.aspx?ident_number=70037,,不要把不同版次的表号混用。
S04,P1：有人在环变稳飞机飞行试验,Interaction of Feel System and Flight Control System Dynamics on Lateral Flying Qualities,1990,NASA CR-179445,NT-33A 在飞实验/LATHOS,力指令滚转灵敏度、T_R、力感系统频率、延迟与飞行品质交互,"PDF pp. 27-32, 42-49, 154-180","K_p/F=5,10,18,25 deg/s/lbf；T_R约0.15-0.45 s；力感频率8/13/26 rad/s",https://ntrs.nasa.gov/citations/19910005040,https://ntrs.nasa.gov/api/citations/19910005040/downloads/19910005040.pdf,L_Fa上界约120 deg/s^2/lbf来自试验矩阵图读数，记为近似值。
S05,P1：飞行试验综述,Effect of Time Delay on Flying Qualities: An Update,1986,NASA TM-88264,飞行试验/在飞模拟综述,等效时延与响应形状、T_R、力感系统动态的交互,PDF pp. 3-8,时延不可脱离T_R和响应灵敏度独立判定；试验覆盖约0.05 s及更高时延,https://ntrs.nasa.gov/citations/19860018620,https://ntrs.nasa.gov/api/citations/19860018620/downloads/19860018620.pdf,文中的等效时延不总等于纯运输延迟。
S06,P1：实机飞行试验辨识,Identification of Low Order Equivalent System Models From Flight Test Data,2000,NASA/TM-2000-210117,F-18 HARV LOES辨识,高迎角横航向LOES模态和输入时延,"Table 10, PDF p. 62","T_s=11.5 s, T_R=1.80 s, omega_d=1.71 rad/s, zeta_d=0.72, lateral delay=0.0125 s",https://ntrs.nasa.gov/citations/20000085030,https://ntrs.nasa.gov/api/citations/20000085030/downloads/20000085030.pdf,45 deg迎角的特殊飞行状态，不代表普通巡航。
S07,P2：地面/在飞模拟构型数据,Ground-based and in-flight simulator studies of low-speed handling characteristics of two supersonic cruise transport concepts,1978,NASA TP-1240,运输机概念模拟与构型参数表,T_R、螺旋、荷兰滚、分子零点比值及增稳构型变化,"Table V, PDF pp. 48-49",8个构型的完整参数；R_omega满意0.80-1.15、可接受0.65-1.35,https://ntrs.nasa.gov/citations/19780019168,https://ntrs.nasa.gov/api/citations/19780019168/downloads/19780019168.pdf,是概念机模拟构型，不是8架量产实机。
S08,P2：系统化有人在环模拟,Recent Research Directed Toward the Prediction of Lateral-Directional Handling Qualities,1966,AGARD Report 531,固定基模拟参数扫描,omega_phi/omega_d、阻尼关系和驾驶员评分,Report 531 figures and parameter survey,约1500个评分；广域R_omega压力扫描；最优区通常在R_omega约1附近,https://ntrs.nasa.gov/citations/19670013913,https://ntrs.nasa.gov/api/citations/19670013913/downloads/19670013913.pdf,用于压力设计，不代表真实飞机概率。
S09,P1：实机飞行试验辨识,Frequency-Response Identification of XV-15 Tilt-Rotor Aircraft Dynamics,1987,NASA TM-89428,XV-15巡航/飞机模式频域辨识,p/aileron的完整零极点和时延,"PDF p. 133, transfer function","T_s=15.87 s, T_R=0.917 s, zeta_d=0.248, omega_d=1.58, zeta_phi=0.313, omega_phi=1.89, tau=0.045 s",https://ntrs.nasa.gov/citations/19870013257,https://ntrs.nasa.gov/api/citations/19870013257/downloads/19870013257.pdf,输入是副翼偏角，不是杆力；不可把-4.49直接当L_Fa。
S10,P1：实机飞行试验,Flight Test Data for a Cessna Cardinal,1974,NASA CR-2337,Cessna 177B飞行试验,轻型通航飞机荷兰滚和滚转响应,"Dutch Roll Characteristics, PDF p. 29","80 mph: omega_d约1.60, zeta_d>0.5；120 mph: omega_d约2.1, zeta_d>0.4",https://ntrs.nasa.gov/citations/19740006639,https://ntrs.nasa.gov/api/citations/19740006639/downloads/19740006639.pdf,高阻尼导致阻尼比难以精确辨识，原文给下界。
